Ticker,Nazwa,Cena,Data,Godzina,Kurs odniesienia,Kurs otwarcia,Max 1D,Min 1D,Wolumen obrotu,Wartość obrotu,Liczba transakcji,Stopa zwrotu 1R,Max 1R,Min 1R,System notowań
ALIOR,Alior Bank SA (ALR),106.05,2025-05-27,11:25:57,106.65,106.65,107.45,105.15,43385.0,4610568.0,469.0,10.83,123.1500(2025-04-01),85.8600(2024-11-19),ciągłe
ALLEGRO,Allegro.eu SA (ALE),33.495,2025-05-27,11:25:59,33.515,33.25,33.835,33.24,491057.0,16488068.0,2177.0,-16.21,39.9750(2024-05-27),25.6700(2025-01-13),ciągłe
BUDIMEX,Budimex SA (BDX),659.4,2025-05-27,11:26:00,658.8,664.0,669.6,657.2,18312.0,12151233.0,1187.0,-17.09,796.0000(2024-05-27),440.4000(2024-12-17),ciągłe
CCC,CCC S.A. (CCC),236.1,2025-05-27,11:26:02,235.3,236.4,239.8,234.8,177474.0,42060036.0,2141.0,80.23,244.5000(2025-04-29),114.5000(2024-07-02),ciągłe
CDPROJEKT,CD Projekt SA (CDR),220.6,2025-05-27,11:26:04,220.1,221.5,221.9,218.7,42731.0,9412828.0,1395.0,57.85,257.6000(2025-05-02),130.3000(2024-05-29),ciągłe
DINOPL,Dino Polska SA (DNP),540.4,2025-05-27,11:26:05,544.8,541.0,544.0,538.4,16869.0,9126465.0,836.0,35.0,556.2000(2025-05-08),303.3000(2024-09-16),ciągłe
KETY,Grupa Kęty SA (KTY),871.5,2025-05-27,11:26:08,867.5,866.0,877.0,864.5,1341.0,1167834.0,259.0,0.75,906.5000(2024-06-24),664.0000(2024-10-30),ciągłe
KGHM,KGHM Polska Miedź SA (KGH),125.85,2025-05-27,11:26:10,127.3,127.0,127.3,124.5,85342.0,10762163.0,1214.0,-20.81,163.7000(2024-09-26),106.5000(2025-04-09),ciągłe
KRUK,Kruk SA (KRU),419.1,2025-05-27,11:26:11,421.0,420.8,422.8,417.7,12635.0,5316680.0,815.0,-7.31,476.8000(2024-07-09),352.0000(2025-04-09),ciągłe
LPP,LPP SA (LPP),15540.0,2025-05-27,11:26:14,15625.0,15740.0,15740.0,15430.0,712.0,11088565.0,432.0,-9.26,18500.0000(2025-03-06),13670.0000(2024-09-11),ciągłe
MBANK,mBank S.A. (MBK),832.8,2025-05-27,11:26:16,826.4,826.2,839.4,813.4,3480.0,2902768.0,477.0,31.4,868.6000(2025-04-24),530.0000(2024-11-28),ciągłe
ORANGEPL,Orange Polska S.A. (OPL),9.866,2025-05-27,11:26:18,9.804,9.76,9.866,9.76,45025.0,442160.0,219.0,17.07,9.9260(2025-05-21),7.1500(2025-01-14),ciągłe
PEKAO,Bank Polska Kasa Opieki SA (PEO),182.25,2025-05-27,11:26:20,181.8,181.75,183.25,181.1,140196.0,25526156.0,1332.0,13.02,192.6000(2025-04-29),135.6500(2024-11-29),ciągłe
PEPCO,Pepco Group NV (PCO),16.87,2025-05-27,11:26:22,16.965,17.09,17.1,16.84,351758.0,5970819.0,1556.0,-31.16,24.6000(2024-06-03),14.0250(2025-04-04),ciągłe
PGE,Polska Grupa Energetyczna SA (PGE),9.18,2025-05-27,11:26:23,9.2,9.2,9.26,9.084,310651.0,2848643.0,864.0,22.37,9.5940(2025-05-16),5.8440(2024-12-19),ciągłe
PKNORLEN,ORLEN SA (PKN),72.13,2025-05-27,11:26:26,71.9,71.9,72.14,71.25,439536.0,31580880.0,2717.0,9.31,73.0000(2025-05-13),46.3200(2024-12-17),ciągłe
